Location_idx,Location,Unnamed: 2
111,"59.33223410188679, 17.979449447761194",
146,"59.33214433584906, 17.979625378731342",
147,"59.33223410188679, 17.979625378731342",
187,"59.33205456981132, 17.97980130970149",
188,"59.33214433584906, 17.97980130970149",
189,"59.33223410188679, 17.97980130970149",
236,"59.33205456981132, 17.97997724067164",
237,"59.33214433584906, 17.97997724067164",
238,"59.33223410188679, 17.97997724067164",
286,"59.33205456981132, 17.98015317164179",
287,"59.33214433584906, 17.98015317164179",
288,"59.33223410188679, 17.98015317164179",
336,"59.33196480377359, 17.98032910261194",
337,"59.33205456981132, 17.98032910261194",
668,"59.330797845283016, 17.981384688432833",
669,"59.330887611320755, 17.981384688432833",
733,"59.330618313207545, 17.981560619402984",
734,"59.330708079245284, 17.981560619402984",
735,"59.330797845283016, 17.981560619402984",
801,"59.33034901509434, 17.98173655037313",
802,"59.330438781132074, 17.98173655037313",
803,"59.33052854716981, 17.98173655037313",
804,"59.330618313207545, 17.98173655037313",
805,"59.330708079245284, 17.98173655037313",
806,"59.330797845283016, 17.98173655037313",
872,"59.33016948301887, 17.981912481343283",
873,"59.3302592490566, 17.981912481343283",
874,"59.33034901509434, 17.981912481343283",
875,"59.330438781132074, 17.981912481343283",
876,"59.33052854716981, 17.981912481343283",
877,"59.330618313207545, 17.981912481343283",
878,"59.330708079245284, 17.981912481343283",
879,"59.330797845283016, 17.981912481343283",
937,"59.32990018490566, 17.98208841231343",
938,"59.3299899509434, 17.98208841231343",
939,"59.33007971698113, 17.98208841231343",
940,"59.33016948301887, 17.98208841231343",
941,"59.3302592490566, 17.98208841231343",
942,"59.33034901509434, 17.98208841231343",
943,"59.330438781132074, 17.98208841231343",
944,"59.33052854716981, 17.98208841231343",
945,"59.330618313207545, 17.98208841231343",
946,"59.330708079245284, 17.98208841231343",
947,"59.330797845283016, 17.98208841231343",
1001,"59.32981041886792, 17.982264343283582",
1002,"59.32990018490566, 17.982264343283582",
1003,"59.3299899509434, 17.982264343283582",
1004,"59.33007971698113, 17.982264343283582",
1005,"59.33016948301887, 17.982264343283582",
1006,"59.3302592490566, 17.982264343283582",
1007,"59.33034901509434, 17.982264343283582",
1008,"59.330438781132074, 17.982264343283582",
1009,"59.33052854716981, 17.982264343283582",
1010,"59.330618313207545, 17.982264343283582",
1011,"59.330708079245284, 17.982264343283582",
1012,"59.330797845283016, 17.982264343283582",
1068,"59.3299899509434, 17.98244027425373",
1069,"59.33007971698113, 17.98244027425373",
1070,"59.33016948301887, 17.98244027425373",
1071,"59.3302592490566, 17.98244027425373",
1072,"59.33034901509434, 17.98244027425373",
1073,"59.330438781132074, 17.98244027425373",
1074,"59.33052854716981, 17.98244027425373",
1075,"59.330618313207545, 17.98244027425373",
1076,"59.330708079245284, 17.98244027425373",
1077,"59.330797845283016, 17.98244027425373",
1132,"59.3299899509434, 17.98261620522388",
1133,"59.33007971698113, 17.98261620522388",
1134,"59.33016948301887, 17.98261620522388",
1135,"59.3302592490566, 17.98261620522388",
1136,"59.33034901509434, 17.98261620522388",
1139,"59.330618313207545, 17.98261620522388",
1140,"59.330708079245284, 17.98261620522388",
1141,"59.330797845283016, 17.98261620522388",
1142,"59.330887611320755, 17.98261620522388",
1199,"59.33007971698113, 17.98279213619403",
1207,"59.330797845283016, 17.98279213619403",
1208,"59.330887611320755, 17.98279213619403",
2413,"59.33241363396226, 17.98719041044776",
2438,"59.33241363396226, 17.98736634141791",
2468,"59.33241363396226, 17.98754227238806",
2507,"59.33241363396226, 17.987718203358206",
2556,"59.33241363396226, 17.987894134328357",
