new_order_id,mid_index,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
0,0,142803,"59.32460398867924, 18.067239001865673",© Google,2010-08,59.3246482821873,18.06728593783959,_0PNRJjhjF9xrQ3xRvaBYQ,OK,"59.3246482821873, 18.06728593783959",122.0900930778197,POINT (18.06728593783959 59.3246482821873),POINT (674521.0014002069 6580221.922038897)
1,36,145575,"59.32334726415095, 18.068294587686566",© Google,2010-08,59.32337218195028,18.06837475504807,QyREZjDEnZlqwlJPLk_KSg,OK,"59.32337218195028, 18.06837475504807",182.90905910810585,POINT (18.06837475504807 59.32337218195028),POINT (674589.4708723342 6580082.772498492)
2,39,140479,"59.32559141509434, 18.066359347014924",© Google,2023-03,59.32559645049493,18.06636211985164,vIiq4-qPYKKT2laBv85vuA,OK,"59.32559645049493, 18.06636211985164",185.62550768818815,POINT (18.06636211985164 59.32559645049493),POINT (674463.6011968115 6580325.012904116)
3,55,141386,"59.32379609433962, 18.066711208955223",© Google,2023-03,59.32377602224146,18.06664834703319,o22_Gok_96c7ONpuuuQoAQ,OK,"59.32377602224146, 18.06664834703319",201.10471565035317,POINT (18.06664834703319 59.32377602224146),POINT (674489.2131918436 6580123.1862531165)
4,73,152363,"59.32307796603774, 18.070933552238806",© Google,2010-08,59.32309333343367,18.07103045152482,jZusy_U-DlokSnfvZk6rCA,OK,"59.32309333343367, 18.07103045152482",226.3218647133315,POINT (18.07103045152482 59.32309333343367),POINT (674741.9415140259 6580058.708779599)
5,97,148276,"59.322539369811324, 18.069350173507463",© Google,2023-03,59.32257041299825,18.069373385052,O0AW8HDBdgiHHnwEbxn1rg,OK,"59.32257041299825, 18.069373385052",263.5007713556913,POINT (18.069373385052 59.32257041299825),POINT (674650.3811710927 6579996.1709217345)
6,110,143261,"59.322629135849056, 18.06741493283582",© Google,2023-03,59.32263867266825,18.06731486594944,Tz7aYCqtzuD2eUELt2i4ow,OK,"59.32263867266825, 18.06731486594944",281.03026942110836,POINT (18.06731486594944 59.32263867266825),POINT (674532.953031731 6579998.36926045)
7,123,150537,"59.3277458, 18.070229828358208",© Google,2014-09,59.32779985810831,18.07007828619143,rUasOgfMyQMosYycHMstPw,OK,"59.32779985810831, 18.07007828619143",321.70913772190085,POINT (18.07007828619143 59.32779985810831),POINT (674663.628079389 6580579.950137876)
8,127,155118,"59.322359837735846, 18.071989138059703",© Google,2023-03,59.3223239156999,18.07203009620433,FqHw1uRmiFwtLWE2MWBp1Q,OK,"59.3223239156999, 18.07203009620433",328.40365174222865,POINT (18.07203009620433 59.3223239156999),POINT (674802.7473020606 6579975.712280686)
9,135,163114,"59.32604024528302, 18.074979964552238",© Google,2010-08,59.32600044184505,18.0749708657828,CEmIZm49_JI2_YVgJNC-zw,OK,"59.32600044184505, 18.0749708657828",340.9973143901757,POINT (18.0749708657828 59.32600044184505),POINT (674951.1015442673 6580392.557250952)
10,137,160673,"59.32675837358491, 18.074100309701493",© Google,2023-03,59.32680364734225,18.07415063110515,1gLtsIH2zFLTpJ4jJg_W0w,OK,"59.32680364734225, 18.07415063110515",343.26546657771325,POINT (18.07415063110515 59.32680364734225),POINT (674900.3270062613 6580479.782485367)
11,150,164088,"59.32433469056604, 18.075331826492537",© Google,2010-08,59.32433311670592,18.07531497898597,vFzh7QOdxRUqL2O9i5EU9w,OK,"59.32433311670592, 18.07531497898597",345.88144734854114,POINT (18.07531497898597 59.32433311670592),POINT (674979.2443794489 6580207.922793215)
12,218,163113,"59.32334726415095, 18.074979964552238",© Google,2010-08,59.32330945111826,18.07491076253226,lbZxM0FtvxdEB93FOIknJQ,OK,"59.32330945111826, 18.07491076253226",364.50668425080136,POINT (18.07491076253226 59.32330945111826),POINT (674961.5188421503 6580092.947867972)
13,229,158331,"59.32756626792453, 18.073220654850747",© Google,2023-03,59.32756800411659,18.07322434424135,PQc8fX0PH39RrQFViw5IAw,OK,"59.32756800411659, 18.07322434424135",366.7493997846913,POINT (18.07322434424135 59.32756800411659),POINT (674843.7234513455 6580562.406810717)
14,300,166453,"59.32514258490566, 18.076211481343282",© Google,2022-11,59.3251529419087,18.07616102367304,RRTV9SDoi97-0tnGDsXBHg,OK,"59.3251529419087, 18.07616102367304",388.222330583898,POINT (18.07616102367304 59.3251529419087),POINT (675023.1437093839 6580301.375943679)
15,336,161152,"59.322359837735846, 18.07427624067164",© Google,2010-08,59.32236196861561,18.07420505442687,90KR4cm8vn_yqizFs9uZOA,OK,"59.32236196861561, 18.07420505442687",398.0584779959436,POINT (18.07420505442687 59.32236196861561),POINT (674926.2528711802 6579985.658567036)
16,379,139129,"59.328284396226415, 18.065831554104477",© Google,2016-05,59.32820362519251,18.06589839234366,BrDbmycT4SrPipxa4eiEQg,OK,"59.32820362519251, 18.06589839234366",413.8360379136288,POINT (18.06589839234366 59.32820362519251),POINT (674423.8636749978 6580613.923649441)
17,407,148274,"59.32110311320755, 18.069350173507463",© Google,2022-11,59.32107402993173,18.06942065092146,EsAAmLYb6MknSRvU5wTP-g,OK,"59.32107402993173, 18.06942065092146",430.2129463183281,POINT (18.06942065092146 59.32107402993173),POINT (674660.7488603278 6579829.778137528)
18,418,144657,"59.32891275849057, 18.067942725746267",© Google,2016-05,59.32878348514745,18.06801473773925,Eyi1bp71kGOvismAd-WqYQ,OK,"59.32878348514745, 18.06801473773925",435.3832344895414,POINT (18.06801473773925 59.32878348514745),POINT (674541.236048532 6580683.996353223)
19,465,142792,"59.32101334716981, 18.067239001865673",© Google,2022-08,59.32098529266226,18.06732896657689,FmV5jgf_NCCnk67MT54RQQ,OK,"59.32098529266226, 18.06732896657689",454.9539779096292,POINT (18.06732896657689 59.32098529266226),POINT (674542.2343743131 6579814.418746198)
20,519,138231,"59.32110311320755, 18.06547969216418",© Google,2022-08,59.32107171332628,18.06551842012278,LS1ZhD8wFknLol-4ezOX-A,OK,"59.32107171332628, 18.06551842012278",482.7163763200629,POINT (18.06551842012278 59.32107171332628),POINT (674438.811892546 6579819.291069443)
21,522,149180,"59.32927182264151, 18.06970203544776",© Google,2023-03,59.32927555999935,18.06976066479814,xaJhwtryHDZByqrI-HaW8g,OK,"59.32927555999935, 18.06976066479814",484.0101153778048,POINT (18.06976066479814 59.32927555999935),POINT (674637.9915013972 6580743.332436014)
22,558,134741,"59.328553694339625, 18.064072244402986",© Google,2017-07,59.32849866014917,18.06420936040747,BUfgx4BrVNbOtpcdp3LcUA,OK,"59.32849866014917, 18.06420936040747",493.3193486300201,POINT (18.06420936040747 59.32849866014917),POINT (674326.3042755986 6580642.3315676795)
23,569,140037,"59.32909229056604, 18.066183416044776",© Google,2012-07,59.32910035730632,18.06617054366671,6M1XxNEbFOt1wAt8mL4pUA,OK,"59.32910035730632, 18.06617054366671",498.1106889817258,POINT (18.06617054366671 59.32910035730632),POINT (674434.7422167636 6580714.424757095)
24,628,153740,"59.32945135471698, 18.071461345149253",© Google,2023-03,59.32944775337999,18.0715094729679,OIrFitpCqo77T4xhW5_1gQ,OK,"59.32944775337999, 18.0715094729679",517.3861077876327,POINT (18.0715094729679 59.32944775337999),POINT (674736.5507023209 6580767.08235532)
25,629,146016,"59.320295218867926, 18.068470518656717",© Google,2023-03,59.32030415474571,18.06849797254633,OUlzMR2b-Vf38QPyzAmCwg,OK,"59.32030415474571, 18.06849797254633",518.2654113768021,POINT (18.06849797254633 59.32030415474571),POINT (674612.2190948807 6579741.686909106)
26,652,150523,"59.32020545283019, 18.070229828358208",© Google,2022-09,59.32025811095861,18.07030147943984,K4xSqA__mz9PIZeKk5cUKQ,OK,"59.32025811095861, 18.07030147943984",523.8680914565109,POINT (18.07030147943984 59.32025811095861),POINT (674715.0365187009 6579741.293926957)
27,675,133877,"59.32119287924528, 18.063720382462687",© Google,2022-08,59.32118391158217,18.06363608644715,ikweWYdo9ugST9EZhwFpkQ,OK,"59.32118391158217, 18.06363608644715",529.8318964721175,POINT (18.06363608644715 59.32118391158217),POINT (674331.1747405869 6579826.846787028)
28,677,154654,"59.320295218867926, 18.07181320708955",© Google,2011-07,59.32037543780468,18.07204216658191,DlsPgSXsDx72BMOYVh2gJw,OK,"59.32037543780468, 18.07204216658191",530.55434902705,POINT (18.07204216658191 59.32037543780468),POINT (674813.4419058538 6579758.918587154)
29,733,143747,"59.32972065283019, 18.067590863805968",© Google,2009-06,59.32972874999414,18.06753752454968,4lkjY9dSxWWNYky_SyScxQ,OK,"59.32972874999414, 18.06753752454968",543.8811666219506,POINT (18.06753752454968 59.32972874999414),POINT (674509.2510440177 6580787.934224991)
30,763,130383,"59.328194630188676, 18.06231293470149",© Google,2023-04,59.32832650749744,18.06235681916467,3SkWKr__j_Fi9uMVDTvSYw,OK,"59.32832650749744, 18.06235681916467",549.0219923452848,POINT (18.06235681916467 59.32832650749744),POINT (674221.8408265461 6580618.325512486)
31,821,139563,"59.320115686792455, 18.066007485074625",© Google,2022-09,59.3201817964175,18.06607070553206,HL9HU7eDN1DjoBRT91AQQA,OK,"59.3201817964175, 18.06607070553206",561.6427206164032,POINT (18.06607070553206 59.3201817964175),POINT (674474.7865064169 6579721.7083897535)
32,833,158804,"59.32954112075472, 18.073396585820895",© Google,2023-03,59.32958047973976,18.07332316030675,cF3qUPVn19dfCUNDl8QL4w,OK,"59.32958047973976, 18.07332316030675",564.5848660541118,POINT (18.07332316030675 59.32958047973976),POINT (674839.0008579196 6580786.613361876)
33,922,160666,"59.32020545283019, 18.074100309701493",© Google,2018-06,59.32026611789571,18.07401952628131,Keud0UZ8acLjSr4j-B88UA,OK,"59.32026611789571, 18.07401952628131",584.0648783986566,POINT (18.07401952628131 59.32026611789571),POINT (674926.4729273655 6579751.946456244)
34,963,149643,"59.3302592490566, 18.06987796641791",© Google,2022-08,59.33024143637573,18.06990482944848,eVIZg49_Uv9ESTQplXbe2A,OK,"59.33024143637573, 18.06990482944848",591.8863989820688,POINT (18.06990482944848 59.33024143637573),POINT (674641.231150128 6580851.192892352)
35,992,169081,"59.328374162264154, 18.07726706716418",© Google,2023-03,59.32839400175402,18.07738109368681,zF-AeNsOXIO7HnK39ilsRw,OK,"59.32839400175402, 18.07738109368681",597.6493579412988,POINT (18.07738109368681 59.32839400175402),POINT (675075.8523672917 6580665.246107396)
36,996,132589,"59.32927182264151, 18.063192589552237",© Google,2022-09,59.3292544660742,18.06312061810937,S6mspjUFhzWh0iuEQ5vqWw,OK,"59.3292544660742, 18.06312061810937",597.8681933751027,POINT (18.06312061810937 59.3292544660742),POINT (674260.5217123969 6580723.587502039)
37,1021,129035,"59.32110311320755, 18.061785141791045",© Google,2023-03,59.32115943040921,18.06184298376707,21xpGnZvt2776jMtkFrBNg,OK,"59.32115943040921, 18.06184298376707",599.9336011214804,POINT (18.06184298376707 59.32115943040921),POINT (674229.3131161155 6579819.429361788)
38,1058,164106,"59.32945135471698, 18.075331826492537",© Google,2023-03,59.32942342707726,18.07536139517429,f2CwOmAqrnTvUwx5JEmCjw,OK,"59.32942342707726, 18.07536139517429",605.6750261795487,POINT (18.07536139517429 59.32942342707726),POINT (674955.7086669365 6580774.490773872)
